인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:27:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Intel® Core™ i5-8500 Processor,Intel® Core™ i5-8500T Processor,Intel® Core™ i5-1240P Processor,Intel® Core™ i5-12450H Processor,Intel® Core™ i5-12400 Processor,Intel® Core™ i5-12400F Processor,Intel® Core™ i5-12600K Processor,Intel® Core™ i5-12600KF Processor,Intel® Core™ i5-8400H Processor,Intel® Core™ i5-8365UE Processor,Intel® Core™ i5-9500E Processor,Intel® Core™ i5-9500TE Processor,Intel® Core™ i5-10210U Processor,Intel® Core™ i5-10400 Processor,Intel® Core™ i5-10600 Processor,Intel® Core™ i5-10500T Processor,Intel® Core™ i5-10400T Processor,Intel® Core™ i5-10500 Processor,Intel® Core™ i5-10400F Processor,Intel® Core™ i5-10600T Processor,Intel® Core™ i5-10505 Processor,Intel® Core™ i5-10500H Processor,Intel® Core™ i5-10500TE Processor,Intel® Core™ i5-10500E Processor,Intel® Core™ i5-1145GRE Processor,Intel® Core™ i5-1145G7E Processor,Intel® Core™ i5-11500HE Processor,Intel® Core™ i5-12400T Processor,Intel® Core™ i5-1250P Processor,Intel® Core™ i5-1245U Processor,Intel® Core™ i5-1235U Processor,Intel® Core™ i5-1235U Processor,Intel® Core™ i5-1240U Processor,Intel® Core™ i5-1230U Processor,Intel® Core™ i5-1250PE Processor,Intel® Core™ i5-1245UE Processor,Intel® Core™ i5-12600HX Processor,Intel® Core™ i5-12450HX Processor,Intel® Core™ i5-12600HL Processor,Intel® Core™ i5-12500HL Processor,Intel® Core™ i5-13600K Processor,Intel® Core™ i5-13600KF Processor,Intel® Core™ i5-13400 Processor,Intel® Core™ i5-13400F Processor,Intel® Core™ i5-13600T Processor,Intel® Core™ i5-13600 Processor,Intel® Core™ i5-13400T Processor,Intel® Core™ i5-13500T Processor,Intel® Core™ i5-13500 Processor,Intel® Core™ i5-1245UL Processor,Intel® Core™ i5-1235UL Processor,Intel® Core™ i5-1350P Processor,Intel® Core™ i5-13505H Processor,Intel® Core™ i5-13500TE Processor,Intel® Core™ i5-1340P Processor,Intel® Core™ i5-1345U Processor,Intel® Core™ i5-13450HX Processor,Intel® Core™ i5-1350PE Processor,Intel® Core™ i5-13500E Processor,Intel® Core™ i5-1334U Processor,Intel® Core™ i5-13600H Processor,Intel® Core™ i5-13500H Processor,Intel® Core™ i5-13400E Processor,Intel® Core™ i5-13600HE Processor,Intel® Core™ i5-1335U Processor,Intel® Core™ i5-13600HX Processor,Intel® Core™ i5-13500HX Processor,Intel® Core™ i5-1340PE Processor,Intel® Core™ i5-13420H Processor,Intel® Core™ i5-1335UE Processor,Intel® Core™ i5-1345UE Processor,Intel® Core™ i5-13500H Processor,Intel® Core™ i5-13600HRE Processor,Intel® Core™ i5-1350PRE Processor,Intel® Core™ i5-1345URE Processor,Intel® Core™ i5 processor 14450HX,Intel® Core™ i5 processor 14500HX,Intel® Core™ i5 processor 14400F,Intel® Core™ i5 processor 14600KF,Intel® Core™ i5 processor 14500T,Intel® Core™ i5 processor 14600T,Intel® Core™ i5 processor 14500,Intel® Core™ i5 processor 14400,Intel® Core™ i5 processor 14400T,Intel® Core™ i5 processor 14600K,Intel® Core™ i5 processor 14600,Intel® Core™ i5-6500 Processor,Intel® Core™ i5-6500TE Processor,Intel® Core™ i5-6300U Processor,Intel® Core™ i5-6440EQ Processor,Intel® Core™ i5-6442EQ Processor,Intel® Core™ i5-12500T Processor,Intel® Core™ i5-12500H Processor,Intel® Core™ i5-12500TE Processor,Intel® Core™ i5-12500E Processor,Intel® Core™ i5-12500 Processor,Intel® Core™ i5-12600 Processor,Intel® Core™ i5-12600T Processor,Intel® Core™ i5-12600H Processor,Intel® Core™ i5-12600HE Processor,Intel® Core™ i5-7500T Processor,Intel® Core™ i5-7500 Processor,Intel® Core™ i5-7300U Processor,Intel® Core™ i5-7440EQ Processor,Intel® Core™ i5-7442EQ Processor
주요 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제품 콜렉션,8세대 인텔® 코어™ i5 프로세서,8세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,8세대 인텔® 코어™ i5 프로세서,8세대 인텔® 코어™ i5 프로세서,9세대 인텔® 코어™ i5 프로세서,9세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,10세대 인텔® 코어™ i5 프로세서,11세대 인텔® 코어™ i5 프로세서,11세대 인텔® 코어™ i5 프로세서,11세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13세대 인텔® 코어™ i5 프로세서,13th Generation Intel® Core™ i5 Processors,Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),6세대 인텔® 코어™ i5 프로세서,6세대 인텔® 코어™ i5 프로세서,6세대 인텔® 코어™ i5 프로세서,6세대 인텔® 코어™ i5 프로세서,6세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,12세대 인텔® 코어™ i5 프로세서,7세대 인텔® 코어™ i5 프로세서,7세대 인텔® 코어™ i5 프로세서,7세대 인텔® 코어™ i5 프로세서,7세대 인텔® 코어™ i5 프로세서,7세대 인텔® 코어™ i5 프로세서
수직 분야,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Embedded,Embedded,Embedded,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Mobile,Embedded,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Embedded,Mobile,Embedded,Embedded,Mobile,Embedded,Embedded,Embedded,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Mobile,Embedded,Embedded,Desktop,Mobile,Embedded,Embedded,Desktop,Desktop,Desktop,Mobile,Embedded,Desktop,Desktop,Mobile,Embedded,Embedded
프로세서 번호,i5-8500,i5-8500T,i5-1240P,i5-12450H,i5-12400,i5-12400F,i5-12600K,i5-12600KF,i5-8400H,i5-8365UE,i5-9500E,i5-9500TE,i5-10210U,i5-10400,i5-10600,i5-10500T,i5-10400T,i5-10500,i5-10400F,i5-10600T,i5-10505,i5-10500H,i5-10500TE,i5-10500E,i5-1145GRE,i5-1145G7E,i5-11500HE,i5-12400T,i5-1250P,i5-1245U,i5-1235U,i5-1235U,i5-1240U,i5-1230U,i5-1250PE,i5-1245UE,i5-12600HX,i5-12450HX,i5-12600HL,i5-12500HL,i5-13600K,i5-13600KF,i5-13400,i5-13400F,i5-13600T,i5-13600,i5-13400T,i5-13500T,i5-13500,i5-1245UL,i5-1235UL,i5-1350P,i5-13505H,i5-13500TE,i5-1340P,i5-1345U,i5-13450HX,i5-1350PE,i5-13500E,i5-1334U,i5-13600H,i5-13500H,i5-13400E,i5-13600HE,i5-1335U,i5-13600HX,i5-13500HX,i5-1340PE,i5-13420H,i5-1335UE,i5-1345UE,i5-13500H,i5-13600HRE,i5-1350PRE,i5-1345URE,i5-14450HX,i5-14500HX,i5-14400F,i5-14600KF,i5-14500T,i5-14600T,i5-14500,i5-14400,i5-14400T,i5-14600K,i5-14600,i5-6500,i5-6500TE,i5-6300U,i5-6440EQ,i5-6442EQ,i5-12500T,i5-12500H,i5-12500TE,i5-12500E,i5-12500,i5-12600,i5-12600T,i5-12600H,i5-12600HE,i5-7500T,i5-7500,i5-7300U,i5-7440EQ,i5-7442EQ
리소그래피,14 nm,14 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm
사용 조건,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,,,,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,,,Embedded Broad Market Commercial Temp,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,,Embedded Broad Market Commercial Temp,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet |  Workstation,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet
고객 권장가격,$192.00,$192.00,$353.00,$342.00,$211.00-$221.00,$184.00-$194.00,$318.00-$328.00,$290.00-$300.00,$250.00,$297.00,$192.00,$192.00,$328.00,$200.00-$210.00,$234.00-$244.00,$211.00,$200.00,$211.00-$221.00,$173.00-$183.00,$234.00,$211.00,$275.00,$214.00,$214.00,$362.00,$312.00,$256.00,$211.00,$320.00,$309.00,$340.00,$340.00,,$340.00,$323.00,$312.00,$284.00,$312.00,$311.00,$279.00,$319.00-$329.00,$294.00-$304.00,$221.00-$231.00,$196.00-$206.00,$255.00,$255.00,$221.00,$232.00,$232.00-$242.00,,,$320.00,$342.00,$235.00,$353.00,$309.00,$326.00,$315.00,$235.00,$340.00,$311.00,$342.00,$224.00,$317.00,$340.00,$284.00,$326.00,$315.00,$342.00,$312.00,$312.00,$342.00,$347.00,$343.00,$340.00,$337.00,$337.00,$196.00-$206.00,$294.00-$304.00,$232.00,$255.00,$232.00-$242.00,$221.00-$231.00,$221.00,$319.00-$329.00,$255.00,$192.00,$192.00,$281.00,$250.00,$250.00,$222.00,$342.00,$225.00,$225.00,$222.00-$232.00,$245.00-$255.00,$245.00,$311.00,$315.00,$192.00,$192.00,$281.00,$250.00,$250.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU 사양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코어 수,6,6,12,8,6,6,10,10,4,4,6,6,4,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,12,10,10,10,10,10,12,10,12,8,12,12,14,14,10,10,14,14,10,14,14,10,10,12,12,14,12,10,10,12,14,10,12,12,10,12,10,14,14,12,8,10,10,12,12,12,10,10,14,10,14,14,14,14,10,10,14,14,4,4,2,4,4,6,12,6,6,6,6,6,12,12,4,4,2,4,4
총 스레드 수,6,6,16,12,12,12,16,16,8,8,6,6,8,12,12,12,12,12,12,12,12,12,12,12,8,8,12,12,16,12,12,12,12,12,16,12,16,12,16,16,20,20,16,16,20,20,16,20,20,12,12,16,16,20,16,12,16,16,20,12,16,16,16,16,12,20,20,16,12,12,12,16,16,16,12,16,20,16,20,20,20,20,16,16,20,20,4,4,4,4,4,12,16,12,12,12,12,12,16,16,4,4,4,4,4
최대 터보 주파수,4.10 GHz,3.50 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.90 GHz,4.90 GHz,4.20 GHz,4.10 GHz,4.20 GHz,3.60 GHz,4.20 GHz,4.30 GHz,4.80 GHz,3.80 GHz,3.60 GHz,4.50 GHz,4.30 GHz,4.00 GHz,4.60 GHz,4.50 GHz,3.70 GHz,4.20 GHz,4.10 GHz,4.10 GHz,4.50 GHz,4.20 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,,,4.60 GHz,4.40 GHz,4.50 GHz,4.50 GHz,5.1 GHz,5.1 GHz,4.60 GHz,4.60 GHz,4.8 GHz,5 GHz,4.40 GHz,4.60 GHz,4.80 GHz,4.40 GHz,4.40 GHz,4.70 GHz,4.70 GHz,4.50 GHz,4.60 GHz,4.70 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.80 GHz,4.70 GHz,4.60 GHz,4.80 GHz,4.60 GHz,4.80 GHz,4.70 GHz,4.50 GHz,4.60 GHz,4.50 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.60 GHz,4.60 GHz,4.8 GHz,4.9 GHz,4.7 GHz,5.3 GHz,4.8 GHz,5.1 GHz,5 GHz,4.7 GHz,4.5 GHz,5.3 GHz,5.2 GHz,3.60 GHz,3.30 GHz,3.00 GHz,3.40 GHz,2.70 GHz,4.40 GHz,4.50 GHz,4.30 GHz,4.50 GHz,4.60 GHz,4.80 GHz,4.60 GHz,4.50 GHz,,3.30 GHz,3.80 GHz,3.50 GHz,3.60 GHz,2.90 GHz
인텔® 터보 부스트 기술 2.0 주파수‡,4.10 GHz,3.50 GHz,,,,,,,4.20 GHz,,4.20 GHz,3.60 GHz,,4.30 GHz,4.80 GHz,3.80 GHz,3.60 GHz,4.50 GHz,4.30 GHz,4.00 GHz,4.60 GHz,,3.70 GHz,4.20 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60 GHz,3.30 GHz,3.00 GHz,3.40 GHz,2.70 GHz,,,,,,,,,,3.30 GHz,3.80 GHz,3.50 GHz,3.60 GHz,2.90 GHz
프로세서 기본 주파수,3.00 GHz,2.10 GHz,,,,,,,2.50 GHz,1.60 GHz,3.00 GHz,2.20 GHz,1.60 GHz,2.90 GHz,3.30 GHz,2.30 GHz,2.00 GHz,3.10 GHz,2.90 GHz,2.40 GHz,3.20 GHz,2.50 GHz,2.30 GHz,3.10 GHz,1.50 GHz,1.50 GHz,,,,,,,,,,,,,2.70 GHz,2.50 GHz,,,,,,,,,,1.60 GHz,1.30 GHz,,,1.30 GHz,,,,1.80 GHz,2.40 GHz,,,,2.40 GHz,2.70 GHz,,,,1.80 GHz,,1.30 GHz,1.40 GHz,,2.70 GHz,1.80 GHz,1.40 GHz,,,,,,,,,,,,3.20 GHz,2.30 GHz,2.40 GHz,2.70 GHz,1.90 GHz,,,,,,,,,2.50 GHz,2.70 GHz,3.40 GHz,2.60 GHz,2.90 GHz,2.10 GHz
