인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캐시,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,9 MB,9 MB,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,20 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB,6 MB
버스 속도,8 GT/s,8 GT/s,,,,,,,8 GT/s,4 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,,,,,,,,,,8 GT/s,8 GT/s,4 GT/s,8 GT/s,
TDP,65 W,35 W,,,,,,,45 W,15 W,65 W,35 W,15 W,65 W,65 W,35 W,35 W,65 W,65 W,35 W,65 W,45 W,35 W,65 W,15 W,15 W,,,,,,,,,,,,,,,,,,,,,,,,15 W,15 W,,,35 W,,,,,65 W,,,,65 W,,,,,,,,15 W,,45 W,28 W,15 W,,,,,,,,,,,,65 W,35 W,15 W,45 W,25 W,,,,,,,,,,35 W,65 W,15 W,45 W,25 W
Configurable TDP-down Frequency,,1.60 GHz,,,,,,,2.00 GHz,1.10 GHz,,,800 MHz,,,1.70 GHz,1.30 GHz,,,1.90 GHz,,,,,1.10 GHz,1.10 GHz,2.10 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 MHz,,,,,,,,,,,,1.70 GHz,,800 MHz,,
Configurable TDP-down,,25 W,,,,,,,35 W,12.5 W,,,10 W,,,25 W,25 W,,,25 W,,35 W,,,12 W,12 W,35 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5 W,,,,,,,,,,,,,,7.5 W,35 W,
# of Performance-cores,,,4,4,6,6,6,6,,,,,,,,,,,,,,,,,,,,6,4,2,2,2,2,2,4,2,4,4,4,4,6,6,6,6,6,6,6,6,6,2,2,4,4,6,4,2,6,4,6,2,4,4,6,4,2,6,6,4,4,2,2,4,4,4,2,6,6,6,6,6,6,6,6,6,6,6,,,,,,6,4,6,6,6,6,6,4,4,,,,,
# of Efficiency-cores,,,8,4,0,0,4,4,,,,,,,,,,,,,,,,,,,,0,8,8,8,8,8,8,8,8,8,4,8,8,8,8,4,4,8,8,4,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,4,8,8,8,8,8,4,8,8,8,8,8,8,4,8,4,8,8,8,8,4,4,8,8,,,,,,0,8,0,0,0,0,0,8,8,,,,,
Single P-core Turbo Frequency,,,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.90 GHz,4.90 GHz,,,,,,,,,,,,,,,,,,,,4.20 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.60 GHz,4.40 GHz,4.50 GHz,4.50 GHz,5.10 GHz,5.10 GHz,4.60 GHz,4.60 GHz,4.80 GHz,5.00 GHz,4.40 GHz,4.60 GHz,4.80 GHz,4.40 GHz,4.40 GHz,4.70 GHz,4.70 GHz,4.50 GHz,4.60 GHz,4.70 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.80 GHz,4.70 GHz,4.60 GHz,4.80 GHz,4.60 GHz,4.80 GHz,4.70 GHz,4.50 GHz,4.60 GHz,4.50 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.60 GHz,4.60 GHz,4.8 GHz,4.9 GHz,4.7 GHz,5.3 GHz,4.8 GHz,5.1 GHz,5 GHz,4.7 GHz,4.5 GHz,5.3 GHz,5.2 GHz,,,,,,4.40 GHz,4.50 GHz,4.30 GHz,4.50 GHz,4.60 GHz,4.80 GHz,4.60 GHz,4.50 GHz,4.50 GHz,,,,,
Single E-core Turbo Frequency,,,3.30 GHz,3.30 GHz,,,3.60 GHz,3.60 GHz,,,,,,,,,,,,,,,,,,,,,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.20 GHz,3.30 GHz,3.30 GHz,3.10 GHz,3.30 GHz,3.30 GHz,3.90 GHz,3.90 GHz,3.30 GHz,3.30 GHz,3.40 GHz,3.70 GHz,3.00 GHz,3.20 GHz,3.50 GHz,2.50 GHz,2.50 GHz,3.50 GHz,3.50 GHz,3.10 GHz,3.40 GHz,3.50 GHz,3.40 GHz,3.40 GHz,3.30 GHz,3.40 GHz,3.60 GHz,3.50 GHz,3.30 GHz,3.60 GHz,3.40 GHz,3.60 GHz,3.50 GHz,3.30 GHz,3.40 GHz,3.30 GHz,3.40 GHz,3.50 GHz,3.60 GHz,3.40 GHz,3.40 GHz,3.5 GHz,3.5 GHz,3.5 GHz,4 GHz,3.4 GHz,3.6 GHz,3.7 GHz,3.5 GHz,3.2 GHz,4 GHz,3.9 GHz,,,,,,,3.30 GHz,,,,,,3.30 GHz,3.30 GHz,,,,,
Processor Base Power,,,28 W,45 W,65 W,65 W,125 W,125 W,,,,,,,,,,,,,,,,,,,,35 W,28 W,15 W,15 W,15 W,9 W,9 W,28 W,15 W,55 W,55 W,45 W,45 W,125 W,125 W,65 W,65 W,35 W,65 W,35 W,35 W,65 W,15 W,15 W,28 W,45 W,35 W,28 W,15 W,55 W,28 W,65 W,15 W,45 W,45 W,65 W,45 W,15 W,55 W,55 W,28 W,45 W,15 W,15 W,45 W,45 W,28 W,15 W,55 W,55 W,65 W,125 W,35 W,35 W,65 W,65 W,35 W,125 W,65 W,,,,,,35 W,45 W,35 W,65 W,65 W,65 W,35 W,45 W,45 W,,,,,
Maximum Turbo Power,,,64 W,95 W,117 W,117 W,150 W,150 W,,,,,,,,,,,,,,,,,,,,74 W,64 W,55 W,55 W,55 W,29 W,29 W,64 W,55 W,157 W,157 W,,,181 W,181 W,148 W,148 W,92 W,154 W,82 W,92 W,154 W,,,64 W,115 W,,64 W,55 W,157 W,64 W,,55 W,95 W,95 W,,115 W,55 W,157 W,157 W,64 W,95 W,55 W,55 W,95 W,115 W,64 W,55 W,157 W,157 W,148 W,181 W,92 W,92 W,154 W,148 W,82 W,181 W,154 W,,,,,,74 W,95 W,,,117 W,117 W,74 W,95 W,115 W,,,,,
Minimum Assured Power,,,20 W,35 W,,,,,,,,,,,,,,,,,,,,,,,,,20 W,12 W,,12 W,,,20 W,12 W,45 W,45 W,35 W,35 W,,,,,,,,,,12 W,12 W,20 W,35 W,,20 W,12 W,45 W,20 W,,,35 W,35 W,,35 W,12 W,45 W,45 W,20 W,35 W,12 W,12 W,35 W,35 W,20 W,12 W,45 W,45 W,,,,,,,,,,,,,,,,35 W,,,,,,35 W,35 W,,,,,
P-core Base Frequency,,,,,2.50 GHz,2.50 GHz,3.70 GHz,3.70 GHz,,,,,,,,,,,,,,,,,,,,1.80 GHz,,,,,,,,,,,,,3.50 GHz,3.50 GHz,2.50 GHz,2.50 GHz,1.80 GHz,2.70 GHz,1.30 GHz,1.60 GHz,2.50 GHz,,,,,1.30 GHz,,,,,2.40 GHz,,,,2.40 GHz,,,,,,,,,,,,,2.4 GHz,2.6 GHz,2.5 GHz,3.5 GHz,1.7 GHz,1.8 GHz,2.6 GHz,2.5 GHz,1.5 GHz,3.5 GHz,2.7 GHz,,,,,,2.00 GHz,,1.90 GHz,2.90 GHz,3.00 GHz,3.30 GHz,2.10 GHz,,2.50 GHz,,,,,
Total L2 Cache,,,,,7.5 MB,7.5 MB,9.5 MB,9.5 MB,,,,,,,,,,,,,,,,,,,,7.5 MB,,,,,,,,,,,,,20 MB,20 MB,9.5 MB,9.5 MB,11.5 MB,11.5 MB,9.5 MB,11.5 MB,11.5 MB,,,,,11.5 MB,,,,,11.5 MB,,,,9.5 MB,,,,,,,,,,,,,,,9.5 MB,20 MB,11.5 MB,20 MB,11.5 MB,9.5 MB,9.5 MB,20 MB,20 MB,,,,,,7.5 MB,,7.5 MB,7.5 MB,7.5 MB,7.5 MB,7.5 MB,,,,,,,
E-core Base Frequency,,,,,,,2.80 GHz,2.80 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60 GHz,2.60 GHz,1.80 GHz,1.80 GHz,1.30 GHz,2.00 GHz,1.00 GHz,1.20 GHz,1.80 GHz,,,,,1.10 GHz,,,,,1.50 GHz,,,,1.50 GHz,,,,,,,,,,,,,1.8 GHz,1.9 GHz,1.8 GHz,2.6 GHz,1.2 GHz,1.3 GHz,1.9 GHz,1.8 GHz,1.1 GHz,2.6 GHz,2 GHz,,,,,,,,,,,,,,,,,,,
Configurable TDP-up Frequency,,,,,,,,,,1.80 GHz,,,2.10 GHz,,,,,,,,,,,,2.60 GHz,2.60 GHz,2.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50 GHz,,,,,,,,,,,,,,2.70 GHz,,
Configurable TDP-up,,,,,,,,,,25 W,,,25 W,,,,,,,,,,,,28 W,28 W,45 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 W,,,,,,,,,,,,,,25 W,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,,,,,,,,,,,,,,,,,,,,,,,,,예,예,,,,,,,,,,,,,,,,,,,,,,,,,,예,예,,예,예,예,,,예,예,예,,,예,예,예,,예,예,예,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Assured Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 W,28 W,,,65 W,65 W,,,,,,,,,,28 W,28 W,,,,,,,35 W,,,,,,65 W,,,,35 W,,28 W,28 W,,65 W,35 W,28 W,,,,,,,,,,,,,,,,,,,,,,,,,65 W,,,,,
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60 GHz,4.40 GHz,4.50 GHz,4.50 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Assured Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20 GHz,,,,,,1.90 GHz,,,,1.20 GHz,,800 MHz,1.00 GHz,,1.90 GHz,1.20 GHz,1.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,1.70 GHz,,,,,
Maximum Assured Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20 GHz,,,,,,2.90 GHz,,,,2.20 GHz,,2.50 GHz,2.50 GHz,,2.90 GHz,2.20 GHz,2.50 GHz,,,,,,,,,,,,,,,,,,,,,,,,,2.60 GHz,,,,,
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보조 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상태,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
출시일,Q2'18,Q2'18,Q1'22,Q1'22,Q1'22,Q1'22,Q4'21,Q4'21,Q2'18,Q3'18,Q2'19,Q4'17,Q3'19,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q1'21,Q4'20,Q2'20,Q2'20,Q3'20,Q3'20,Q3'21,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q2'22,Q2'22,Q3'22,Q3'22,Q4'22,Q4'22,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q3'22,Q3'22,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q3'15,Q4'15,Q3'15,Q4'15,Q4'15,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17
사용 가능한 임베디드 옵션,예,예,아니요,아니요,예,아니요,아니요,아니요,예,예,예,예,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,예,예,예,예,예,아니요,아니요,아니요,아니요,아니요,아니요,아니요,예,예,아니요,아니요,예,예,아니요,아니요,예,아니요,아니요,아니요,아니요,예,예,예,예,아니요,아니요,예,아니요,아니요,아니요,예,예,아니요,아니요,아니요,예,예,아니요,아니요,아니요,예,아니요,예,예,아니요,예,예,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,예,예,예,예,예,아니요,아니요,예,예,예,아니요,아니요,아니요,예,예,예,예,예,예
데이터시트,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,,,,,,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,지금 보기,지금 보기,,지금 보기,지금 보기,지금 보기,,,지금 보기,지금 보기,지금 보기,,,지금 보기,지금 보기,지금 보기,,지금 보기,,,지금 보기,,,,,,,,,,,,,,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,지금 보기,지금 보기,지금 보기,지금 보기,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기
Included Items,,,,,,,,,,Premium PCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermal Solution - E97379,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,Refer to datasheet for details on TDP spec and LPDDR support differences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Safety (FuSa) Documentation Available,,,,,,,,,,,,,,,,,,,,,,,,,예,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,예,예,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicing Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,,,,,,,,,,ESU Notification Issued,ESU Notification Issued,,ESU Notification Issued,ESU Notification Issued
End of Servicing Updates Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,,,,,,,,,,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메모리 사양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최대 메모리 크기(메모리 유형에 따라 다름),128 GB,128 GB,64 GB,64 GB,128 GB,128 GB,128 GB,128 GB,64 GB,64 GB,128 GB,128 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,64 GB,128 GB,128 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,128 GB,128 GB,64 GB,64 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,64 GB,64 GB,96 GB,64 GB,128 GB,96 GB,96 GB,192 GB,64 GB,128 GB,96 GB,96 GB,96 GB,128 GB,64 GB,96 GB,192 GB,192 GB,64 GB,96 GB,64 GB,64 GB,96 GB,64 GB,64 GB,64 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,64 GB,64 GB,32 GB,64 GB,64 GB,128 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,64 GB,64 GB,64 GB,32 GB,64 GB,64 GB
